pop_id,spp,gfe_id,sys_nm,geom_mean
51853,CM,984,ELCHO CREEK,7340.180568
51858,CM,985,FRENCHMAN CREEK,894.9231124
51863,CM,986,MARTIN RIVER,970.2044277
51868,CM,987,GOAT BUSHU CREEK,
51873,CM,988,WALKER LAKE CREEK,263.8085383
51878,CM,989,CLATSE CREEK,4760.534672
51883,CM,990,RAINBOW CREEK,96.86600138
51888,CM,991,ROSCOE CREEK,18707.43254
51893,CM,992,LEE CREEK,942.6793454
51898,CM,993,QUARTCHA CREEK,3132.818554
51903,CM,994,EMILY CREEK,53.18295897
51908,CM,995,BULLOCK CHANNEL CREEKS,1365.270755
51913,CM,996,ELLERSLIE LAGOON CREEK,101.9426547
51918,CM,997,PINE RIVER,156.0149925
51928,CM,999,NEEKAS CREEK,23690.98943
51933,CM,1000,SPILLER LAGOON CREEK,338.9232085
51938,CM,1001,TANKEEAH RIVER,513.7259377
51953,CM,1004,WINDFALL CREEK,541.8324792
51958,CM,1005,TOM BAY CREEK,193.6772052
51963,CM,1006,NAMELESS CREEK,1780.889319
51968,CM,1007,SALMON BAY CREEK,3090.008004
51973,CM,1008,HIRD POINT CREEK,299.0757547
51978,CM,1009,LARD CREEK,1035.499515
51983,CM,1010,KAINET CREEK,24913.47042
51988,CM,1011,BIG CREEK,
51993,CM,1012,BIG BAY CREEK,710.0249775
51998,CM,1013,KORICH CREEK,242.8327069
52003,CM,1014,POISON COVE CREEK,511.5376066
52008,CM,1015,MUSSEL RIVER,14250.91182
52013,CM,1016,BOLIN BAY CREEK,278.2060123
52018,CM,1017,CARTER RIVER,259.9223916
52856,CM,1135,DREW CREEK,
42779,CN,1836,DUTHIE CREEK,
42789,CN,1838,CANOONA RIVER,5
42794,CN,1839,SODA CREEK,43.30127019
43274,CN,1840,LITTLE CREEK,25
43814,CN,1843,BLEE CREEK,4
43819,CN,1844,BLOOMFIELD CREEK,4
43829,CN,1846,DALLY CREEK,4
43874,CN,1850,ARNOUP CREEK,4
43994,CN,1874,LIMESTONE CREEK,2
44004,CN,1876,DON CREEK,25
44409,CN,1957,WEST CREEK,1
45645,CN,358,ATNARKO SPAWNING CHANNEL,104.2165857
46111,CN,201,GREEN RIVER,
48503,CN,454,JOHNSTON CREEK,547.2623264
49793,CN,934,NICKNAQUEET RIVER,6
50229,CN,1023,AALTANHASH RIVER,19.22280744
50239,CN,1025,SCOW BAY CREEK,75
50244,CN,1026,KLEKANE RIVER,4
50459,CN,935,WANNOCK RIVER,2642.862445
51229,CN,1018,GREEN RIVER,1.817120593
51244,CN,1021,KHUTZE RIVER,51.60209286
51614,CN,937,AMBACK CREEK,17.09975947
51619,CN,938,DALLERY CREEK,34.41827689
51624,CN,939,ASHLULM CREEK,28.55083468
51634,CN,941,NEECHANZ RIVER,69.49629382
51639,CN,942,GENESEE CREEK,2
51644,CN,943,SHEEMAHANT RIVER,77.5922787
51649,CN,944,INZIANA RIVER,1
51654,CN,945,WASHWASH RIVER,19.63458783
51659,CN,946,TZEO RIVER,56.53207308
51664,CN,947,KILBELLA RIVER,255.2530002
